Room_ID,Energy
200 Olsson,226.602
201 Olsson,208601.147
203 Olsson,254463.41
206 Olsson,145604.101
208 Olsson,91821.614
210 Olsson,262826.668
211 Olsson,18678.44
213 Olsson,200479.025
217 Olsson,4692.915
218 Olsson,10055.372
219 Olsson,610.577
225 Olsson,9118.809
229 Olsson,113108.475
240 Olsson,255773.437
241 Olsson,5626.385
243 Olsson,7635.222
245 Olsson,10226.641
247 Olsson,21821.824
249 Olsson,2527.033
251 Olsson,3553.106
253 Olsson,11106.114
255 Olsson,21665.594
256 Olsson,70487.014
257 Olsson,6588.295
259 Olsson,8798.571
260 Olsson,78469.128
261 Olsson,1730.683
263 Olsson,6402.041
265 Olsson,9357.355
269 Olsson,12013.774
270 Olsson,131535.36
271 Olsson,584.513
273 Olsson,349.661
274 Olsson,6234.932
276 Olsson,16970.835
277 Olsson,16484.025
279 Olsson,17903.447
281 Olsson,7682.173
283 Olsson,15525.708
285 Olsson,6695.602
286 Olsson,3766.81
