time,location_specific,energy_MWh,week
2021-12-30 00:00:00+00:00,200 Olsson,19.716,1
2022-01-06 00:00:00+00:00,200 Olsson,27.21,2
2022-01-13 00:00:00+00:00,200 Olsson,27.585,3
2022-01-20 00:00:00+00:00,200 Olsson,27.463,4
2022-01-27 00:00:00+00:00,200 Olsson,29.105,5
2022-02-03 00:00:00+00:00,200 Olsson,29.672,6
2022-02-10 00:00:00+00:00,200 Olsson,29.882,7
2022-02-17 00:00:00+00:00,200 Olsson,30.105,8
2022-02-24 00:00:00+00:00,200 Olsson,30.715,9
2022-03-03 00:00:00+00:00,200 Olsson,31.237,10
2022-03-10 00:00:00+00:00,200 Olsson,30.807,11
2022-03-17 00:00:00+00:00,200 Olsson,31.367,12
2022-03-24 00:00:00+00:00,200 Olsson,31.841,13
2022-03-31 00:00:00+00:00,200 Olsson,32.038,14
2022-04-07 00:00:00+00:00,200 Olsson,11.321,15
2022-04-14 00:00:00+00:00,200 Olsson,0.0,16
2022-04-21 00:00:00+00:00,200 Olsson,0.0,17
2022-04-28 00:00:00+00:00,200 Olsson,0.0,18
2022-05-05 00:00:00+00:00,200 Olsson,0.0,19
2022-05-12 00:00:00+00:00,200 Olsson,42.534,20
2022-05-19 00:00:00+00:00,200 Olsson,49.189,21
2022-05-26 00:00:00+00:00,200 Olsson,52.714,22
2022-06-02 00:00:00+00:00,200 Olsson,50.232,23
2022-06-09 00:00:00+00:00,200 Olsson,53.677,24
2022-06-16 00:00:00+00:00,200 Olsson,53.534,25
2022-06-23 00:00:00+00:00,200 Olsson,53.924,26
2022-06-30 00:00:00+00:00,200 Olsson,54.203,27
2022-07-07 00:00:00+00:00,200 Olsson,53.194,28
2022-07-14 00:00:00+00:00,200 Olsson,34.945,29
2022-07-21 00:00:00+00:00,200 Olsson,55.287,30
2022-07-28 00:00:00+00:00,200 Olsson,59.204,31
2022-08-04 00:00:00+00:00,200 Olsson,59.549,32
2022-08-11 00:00:00+00:00,200 Olsson,60.594,33
2022-08-18 00:00:00+00:00,200 Olsson,60.425,34
2022-08-25 00:00:00+00:00,200 Olsson,59.817,35
2022-09-01 00:00:00+00:00,200 Olsson,56.699,36
2022-09-08 00:00:00+00:00,200 Olsson,57.491,37
2022-09-15 00:00:00+00:00,200 Olsson,61.221,38
2022-09-22 00:00:00+00:00,200 Olsson,61.015,39
2022-09-29 00:00:00+00:00,200 Olsson,47.621,40
2022-10-06 00:00:00+00:00,200 Olsson,9.555,41
2022-10-13 00:00:00+00:00,200 Olsson,56.203,42
2022-10-20 00:00:00+00:00,200 Olsson,45.619,43
2022-10-27 00:00:00+00:00,200 Olsson,66.37,44
2022-11-03 00:00:00+00:00,200 Olsson,68.462,45
2022-11-10 00:00:00+00:00,200 Olsson,70.589,46
2022-11-17 00:00:00+00:00,200 Olsson,72.932,47
2022-11-24 00:00:00+00:00,200 Olsson,74.746,48
2022-12-01 00:00:00+00:00,200 Olsson,73.561,49
2022-12-08 00:00:00+00:00,200 Olsson,76.694,50
2022-12-15 00:00:00+00:00,200 Olsson,75.646,51
2022-12-22 00:00:00+00:00,200 Olsson,75.72,52
2022-12-29 00:00:00+00:00,200 Olsson,76.539,53
2023-01-05 00:00:00+00:00,200 Olsson,79.16,54
2023-01-12 00:00:00+00:00,200 Olsson,73.818,55
2023-01-19 00:00:00+00:00,200 Olsson,78.787,56
2023-01-26 00:00:00+00:00,200 Olsson,76.291,57
2023-02-02 00:00:00+00:00,200 Olsson,78.331,58
2023-02-09 00:00:00+00:00,200 Olsson,70.592,59
2023-02-16 00:00:00+00:00,200 Olsson,77.117,60
2023-02-23 00:00:00+00:00,200 Olsson,61.956,61
2023-03-02 00:00:00+00:00,200 Olsson,74.578,62
2023-03-09 00:00:00+00:00,200 Olsson,51.876,63
2023-03-16 00:00:00+00:00,200 Olsson,9.791,64
2023-03-23 00:00:00+00:00,200 Olsson,89.386,65
2023-03-30 00:00:00+00:00,200 Olsson,90.904,66
2023-04-06 00:00:00+00:00,200 Olsson,94.942,67
2023-04-13 00:00:00+00:00,200 Olsson,95.819,68
2023-04-20 00:00:00+00:00,200 Olsson,96.446,69
2023-04-27 00:00:00+00:00,200 Olsson,88.88,70
2023-05-04 00:00:00+00:00,200 Olsson,96.502,71
2023-05-11 00:00:00+00:00,200 Olsson,95.944,72
2023-05-18 00:00:00+00:00,200 Olsson,98.15,73
2023-05-25 00:00:00+00:00,200 Olsson,98.631,74
2023-06-01 00:00:00+00:00,200 Olsson,102.809,75
2023-06-08 00:00:00+00:00,200 Olsson,101.891,76
2023-06-15 00:00:00+00:00,200 Olsson,102.503,77
2023-06-22 00:00:00+00:00,200 Olsson,97.423,78
2023-06-29 00:00:00+00:00,200 Olsson,102.186,79
2023-07-06 00:00:00+00:00,200 Olsson,102.808,80
2023-07-13 00:00:00+00:00,200 Olsson,102.808,81
2023-07-20 00:00:00+00:00,200 Olsson,101.972,82
2023-07-27 00:00:00+00:00,200 Olsson,101.808,83
2023-08-03 00:00:00+00:00,200 Olsson,102.033,84
2023-08-10 00:00:00+00:00,200 Olsson,101.982,85
2023-08-17 00:00:00+00:00,200 Olsson,102.471,86
2023-08-24 00:00:00+00:00,200 Olsson,109.194,87
2023-08-31 00:00:00+00:00,200 Olsson,112.414,88
2023-09-07 00:00:00+00:00,200 Olsson,114.665,89
2023-09-14 00:00:00+00:00,200 Olsson,114.856,90
2023-09-21 00:00:00+00:00,200 Olsson,116.877,91
2023-09-28 00:00:00+00:00,200 Olsson,118.48,92
2023-10-05 00:00:00+00:00,200 Olsson,118.967,93
2023-10-12 00:00:00+00:00,200 Olsson,119.301,94
2023-10-19 00:00:00+00:00,200 Olsson,119.681,95
2023-10-26 00:00:00+00:00,200 Olsson,119.045,96
2023-11-02 00:00:00+00:00,200 Olsson,121.336,97
2023-11-09 00:00:00+00:00,200 Olsson,125.324,98
2023-11-16 00:00:00+00:00,200 Olsson,98.344,99
2023-11-23 00:00:00+00:00,200 Olsson,0.0,100
2023-11-30 00:00:00+00:00,200 Olsson,0.0,101
2023-12-07 00:00:00+00:00,200 Olsson,19.208,102
2023-12-14 00:00:00+00:00,200 Olsson,112.641,103
2023-12-21 00:00:00+00:00,200 Olsson,114.629,104
2023-12-28 00:00:00+00:00,200 Olsson,122.146,105
2024-01-04 00:00:00+00:00,200 Olsson,137.426,106
2024-01-11 00:00:00+00:00,200 Olsson,122.733,107
2024-01-18 00:00:00+00:00,200 Olsson,125.505,108
2024-01-25 00:00:00+00:00,200 Olsson,95.266,109
2024-02-01 00:00:00+00:00,200 Olsson,100.154,110
2024-02-08 00:00:00+00:00,200 Olsson,117.432,111
2024-02-15 00:00:00+00:00,200 Olsson,104.86,112
2024-02-22 00:00:00+00:00,200 Olsson,127.479,113
2024-02-29 00:00:00+00:00,200 Olsson,133.792,114
2024-03-07 00:00:00+00:00,200 Olsson,129.816,115
2024-03-14 00:00:00+00:00,200 Olsson,140.47,116
2024-03-21 00:00:00+00:00,200 Olsson,144.957,117
2024-03-28 00:00:00+00:00,200 Olsson,147.626,118
2024-04-04 00:00:00+00:00,200 Olsson,171.718,119
2024-04-11 00:00:00+00:00,200 Olsson,175.185,120
2024-04-18 00:00:00+00:00,200 Olsson,173.265,121
2024-04-25 00:00:00+00:00,200 Olsson,184.891,122
2024-05-02 00:00:00+00:00,200 Olsson,200.16,123
2024-05-09 00:00:00+00:00,200 Olsson,190.36,124
2024-05-16 00:00:00+00:00,200 Olsson,217.599,125
2024-05-23 00:00:00+00:00,200 Olsson,208.556,126
2024-05-30 00:00:00+00:00,200 Olsson,202.438,127
2024-06-06 00:00:00+00:00,200 Olsson,197.392,128
2024-06-13 00:00:00+00:00,200 Olsson,209.171,129
2024-06-20 00:00:00+00:00,200 Olsson,210.27,130
2024-06-27 00:00:00+00:00,200 Olsson,203.776,131
2024-07-04 00:00:00+00:00,200 Olsson,201.039,132
2024-07-11 00:00:00+00:00,200 Olsson,212.013,133
2024-07-18 00:00:00+00:00,200 Olsson,182.282,134
2024-07-25 00:00:00+00:00,200 Olsson,200.394,135
2024-08-01 00:00:00+00:00,200 Olsson,194.303,136
2024-08-08 00:00:00+00:00,200 Olsson,173.48,137
2024-08-15 00:00:00+00:00,200 Olsson,182.389,138
2024-08-22 00:00:00+00:00,200 Olsson,193.497,139
2024-08-29 00:00:00+00:00,200 Olsson,187.888,140
2024-09-05 00:00:00+00:00,200 Olsson,200.048,141
2024-09-12 00:00:00+00:00,200 Olsson,193.644,142
2024-09-19 00:00:00+00:00,200 Olsson,205.312,143
2024-09-26 00:00:00+00:00,200 Olsson,180.905,144
2024-10-03 00:00:00+00:00,200 Olsson,200.671,145
2024-10-10 00:00:00+00:00,200 Olsson,195.617,146
2024-10-17 00:00:00+00:00,200 Olsson,196.698,147
2024-10-24 00:00:00+00:00,200 Olsson,203.317,148
2024-10-31 00:00:00+00:00,200 Olsson,196.968,149
2024-11-07 00:00:00+00:00,200 Olsson,196.4,150
2024-11-14 00:00:00+00:00,200 Olsson,206.015,151
2024-11-21 00:00:00+00:00,200 Olsson,193.713,152
2024-11-28 00:00:00+00:00,200 Olsson,193.776,153
2024-12-05 00:00:00+00:00,200 Olsson,197.956,154
2024-12-12 00:00:00+00:00,200 Olsson,240.575,155
2024-12-19 00:00:00+00:00,200 Olsson,248.89,156
2024-12-26 00:00:00+00:00,200 Olsson,255.361,157
2025-01-02 00:00:00+00:00,200 Olsson,272.026,158
2025-01-09 00:00:00+00:00,200 Olsson,241.723,159
2025-01-16 00:00:00+00:00,200 Olsson,239.7,160
2025-01-23 00:00:00+00:00,200 Olsson,263.65,161
2025-01-30 00:00:00+00:00,200 Olsson,256.438,162
2025-02-06 00:00:00+00:00,200 Olsson,260.758,163
2025-02-13 00:00:00+00:00,200 Olsson,138.06,164
2025-02-20 00:00:00+00:00,200 Olsson,250.167,165
2025-02-27 00:00:00+00:00,200 Olsson,253.07,166
2025-03-06 00:00:00+00:00,200 Olsson,244.629,167
2025-03-13 00:00:00+00:00,200 Olsson,248.887,168
2025-03-20 00:00:00+00:00,200 Olsson,248.748,169
2025-03-27 00:00:00+00:00,200 Olsson,270.084,170
2025-04-03 00:00:00+00:00,200 Olsson,254.172,171
2025-04-10 00:00:00+00:00,200 Olsson,243.229,172
2025-04-17 00:00:00+00:00,200 Olsson,245.47,173
2025-04-24 00:00:00+00:00,200 Olsson,256.951,174
2025-05-01 00:00:00+00:00,200 Olsson,243.991,175
2025-05-08 00:00:00+00:00,200 Olsson,257.27,176
2025-05-15 00:00:00+00:00,200 Olsson,264.923,177
2025-05-22 00:00:00+00:00,200 Olsson,251.075,178
2025-05-29 00:00:00+00:00,200 Olsson,244.881,179
2025-06-05 00:00:00+00:00,200 Olsson,244.49,180
2025-06-12 00:00:00+00:00,200 Olsson,252.499,181
2025-06-19 00:00:00+00:00,200 Olsson,239.363,182
