time,location_specific,energy_kWh,week
2021-12-30 00:00:00+00:00,200 Olsson,0.0,1
2022-01-06 00:00:00+00:00,200 Olsson,0.0,2
2022-01-13 00:00:00+00:00,200 Olsson,0.0,3
2022-01-20 00:00:00+00:00,200 Olsson,0.02,4
2022-01-27 00:00:00+00:00,200 Olsson,0.2,5
2022-02-03 00:00:00+00:00,200 Olsson,0.0,6
2022-02-10 00:00:00+00:00,200 Olsson,0.01,7
2022-02-17 00:00:00+00:00,200 Olsson,0.13,8
2022-02-24 00:00:00+00:00,200 Olsson,0.02,9
2022-03-03 00:00:00+00:00,200 Olsson,0.0,10
2022-03-10 00:00:00+00:00,200 Olsson,0.0,11
2022-03-17 00:00:00+00:00,200 Olsson,0.0,12
2022-03-24 00:00:00+00:00,200 Olsson,0.09,13
2022-03-31 00:00:00+00:00,200 Olsson,0.09,14
2022-04-07 00:00:00+00:00,200 Olsson,0.0,15
2022-04-14 00:00:00+00:00,200 Olsson,0.0,16
2022-04-21 00:00:00+00:00,200 Olsson,0.0,17
2022-04-28 00:00:00+00:00,200 Olsson,0.0,18
2022-05-05 00:00:00+00:00,200 Olsson,0.0,19
2022-05-12 00:00:00+00:00,200 Olsson,0.06,20
2022-05-19 00:00:00+00:00,200 Olsson,0.0,21
2022-05-26 00:00:00+00:00,200 Olsson,0.48,22
2022-06-02 00:00:00+00:00,200 Olsson,0.0,23
2022-06-09 00:00:00+00:00,200 Olsson,0.0,24
2022-06-16 00:00:00+00:00,200 Olsson,0.0,25
2022-06-23 00:00:00+00:00,200 Olsson,0.0,26
2022-06-30 00:00:00+00:00,200 Olsson,0.0,27
2022-07-07 00:00:00+00:00,200 Olsson,0.0,28
2022-07-14 00:00:00+00:00,200 Olsson,0.0,29
2022-07-21 00:00:00+00:00,200 Olsson,0.11,30
2022-07-28 00:00:00+00:00,200 Olsson,0.31,31
2022-08-04 00:00:00+00:00,200 Olsson,0.17,32
2022-08-11 00:00:00+00:00,200 Olsson,0.04,33
2022-08-18 00:00:00+00:00,200 Olsson,0.0,34
2022-08-25 00:00:00+00:00,200 Olsson,0.0,35
2022-09-01 00:00:00+00:00,200 Olsson,0.0,36
2022-09-08 00:00:00+00:00,200 Olsson,0.11,37
2022-09-15 00:00:00+00:00,200 Olsson,0.14,38
2022-09-22 00:00:00+00:00,200 Olsson,0.24,39
2022-09-29 00:00:00+00:00,200 Olsson,0.1,40
2022-10-06 00:00:00+00:00,200 Olsson,0.0,41
2022-10-13 00:00:00+00:00,200 Olsson,0.1,42
2022-10-20 00:00:00+00:00,200 Olsson,0.01,43
2022-10-27 00:00:00+00:00,200 Olsson,0.39,44
2022-11-03 00:00:00+00:00,200 Olsson,0.0,45
2022-11-10 00:00:00+00:00,200 Olsson,0.15,46
2022-11-17 00:00:00+00:00,200 Olsson,0.35,47
2022-11-24 00:00:00+00:00,200 Olsson,0.08,48
2022-12-01 00:00:00+00:00,200 Olsson,0.06,49
2022-12-08 00:00:00+00:00,200 Olsson,0.21,50
2022-12-15 00:00:00+00:00,200 Olsson,0.0,51
2022-12-22 00:00:00+00:00,200 Olsson,0.0,52
2022-12-29 00:00:00+00:00,200 Olsson,-0.0,53
2023-01-05 00:00:00+00:00,200 Olsson,-0.0,54
2023-01-12 00:00:00+00:00,200 Olsson,0.0,55
2023-01-19 00:00:00+00:00,200 Olsson,0.14,56
2023-01-26 00:00:00+00:00,200 Olsson,-0.0,57
2023-02-02 00:00:00+00:00,200 Olsson,0.02,58
2023-02-09 00:00:00+00:00,200 Olsson,0.0,59
2023-02-16 00:00:00+00:00,200 Olsson,0.03,60
2023-02-23 00:00:00+00:00,200 Olsson,0.08,61
2023-03-02 00:00:00+00:00,200 Olsson,0.0,62
2023-03-09 00:00:00+00:00,200 Olsson,0.08,63
2023-03-16 00:00:00+00:00,200 Olsson,0.17,64
2023-03-23 00:00:00+00:00,200 Olsson,0.0,65
2023-03-30 00:00:00+00:00,200 Olsson,0.43,66
2023-04-06 00:00:00+00:00,200 Olsson,0.2,67
2023-04-13 00:00:00+00:00,200 Olsson,0.06,68
2023-04-20 00:00:00+00:00,200 Olsson,0.0,69
2023-04-27 00:00:00+00:00,200 Olsson,0.0,70
2023-05-04 00:00:00+00:00,200 Olsson,-0.0,71
2023-05-11 00:00:00+00:00,200 Olsson,0.0,72
2023-05-18 00:00:00+00:00,200 Olsson,0.23,73
2023-05-25 00:00:00+00:00,200 Olsson,0.38,74
2023-06-01 00:00:00+00:00,200 Olsson,0.0,75
2023-06-08 00:00:00+00:00,200 Olsson,0.0,76
2023-06-15 00:00:00+00:00,200 Olsson,0.0,77
2023-06-22 00:00:00+00:00,200 Olsson,0.0,78
