time,location_specific,energy_kWh
2025-11-02 02:00:00+00:00,200 Olsson,0.0
2025-11-02 02:00:00+00:00,241 Olsson,0.0
2025-11-02 02:00:00+00:00,243 Olsson,0.0
2025-11-02 02:00:00+00:00,218 Olsson,0.01
2025-11-02 02:00:00+00:00,245 Olsson,0.0
2025-11-02 02:00:00+00:00,283 Olsson,0.02
2025-11-02 02:00:00+00:00,247 Olsson,0.01
2025-11-02 02:00:00+00:00,217 Olsson,0.0
2025-11-02 02:00:00+00:00,253 Olsson,0.01
2025-11-02 02:00:00+00:00,255 Olsson,0.03
2025-11-02 02:00:00+00:00,213 Olsson,0.13
2025-11-02 02:00:00+00:00,256 Olsson,0.01
2025-11-02 02:00:00+00:00,257 Olsson,0.0
2025-11-02 02:00:00+00:00,249 Olsson,0.0
2025-11-02 02:00:00+00:00,201 Olsson,0.4
2025-11-02 02:00:00+00:00,225 Olsson,0.02
2025-11-02 02:00:00+00:00,286 Olsson,0.0
2025-11-02 02:00:00+00:00,285 Olsson,0.0
2025-11-02 02:00:00+00:00,240 Olsson,0.13
2025-11-02 02:00:00+00:00,219 Olsson,0.0
2025-11-02 02:00:00+00:00,251 Olsson,0.0
2025-11-02 02:00:00+00:00,211 Olsson,0.0
2025-11-02 02:00:00+00:00,229 Olsson,0.04
2025-11-02 02:00:00+00:00,263 Olsson,0.0
2025-11-02 02:00:00+00:00,265 Olsson,0.01
2025-11-02 02:00:00+00:00,269 Olsson,0.04
2025-11-02 02:00:00+00:00,208 Olsson,0.03
2025-11-02 02:00:00+00:00,270 Olsson,0.08
2025-11-02 02:00:00+00:00,271 Olsson,0.0
2025-11-02 02:00:00+00:00,273 Olsson,0.0
2025-11-02 02:00:00+00:00,206 Olsson,0.13
2025-11-02 02:00:00+00:00,210 Olsson,0.09
2025-11-02 02:00:00+00:00,259 Olsson,0.0
2025-11-02 02:00:00+00:00,276 Olsson,0.04
2025-11-02 02:00:00+00:00,277 Olsson,0.0
2025-11-02 02:00:00+00:00,203 Olsson,0.09
2025-11-02 02:00:00+00:00,279 Olsson,0.04
2025-11-02 02:00:00+00:00,281 Olsson,0.0
2025-11-02 02:00:00+00:00,261 Olsson,0.0
2025-11-02 02:00:00+00:00,260 Olsson,0.04
2025-11-02 02:00:00+00:00,274 Olsson,0.0
2025-11-02 02:15:00+00:00,265 Olsson,0.0
2025-11-02 02:15:00+00:00,257 Olsson,0.0
2025-11-02 02:15:00+00:00,201 Olsson,0.18
2025-11-02 02:15:00+00:00,285 Olsson,0.0
2025-11-02 02:15:00+00:00,281 Olsson,0.0
2025-11-02 02:15:00+00:00,241 Olsson,0.0
2025-11-02 02:15:00+00:00,213 Olsson,0.06
2025-11-02 02:15:00+00:00,256 Olsson,0.01
2025-11-02 02:15:00+00:00,200 Olsson,0.0
2025-11-02 02:15:00+00:00,283 Olsson,0.01
2025-11-02 02:15:00+00:00,271 Olsson,0.0
2025-11-02 02:15:00+00:00,210 Olsson,0.06
2025-11-02 02:15:00+00:00,269 Olsson,0.01
2025-11-02 02:15:00+00:00,249 Olsson,0.0
2025-11-02 02:15:00+00:00,219 Olsson,0.0
2025-11-02 02:15:00+00:00,206 Olsson,0.06
2025-11-02 02:15:00+00:00,255 Olsson,0.01
2025-11-02 02:15:00+00:00,240 Olsson,0.06
2025-11-02 02:15:00+00:00,263 Olsson,0.0
2025-11-02 02:15:00+00:00,225 Olsson,0.01
2025-11-02 02:15:00+00:00,229 Olsson,0.02
2025-11-02 02:15:00+00:00,259 Olsson,0.0
2025-11-02 02:15:00+00:00,274 Olsson,0.0
2025-11-02 02:15:00+00:00,261 Olsson,0.0
2025-11-02 02:15:00+00:00,253 Olsson,0.0
2025-11-02 02:15:00+00:00,279 Olsson,0.01
2025-11-02 02:15:00+00:00,243 Olsson,0.0
2025-11-02 02:15:00+00:00,211 Olsson,0.0
2025-11-02 02:15:00+00:00,251 Olsson,0.0
2025-11-02 02:15:00+00:00,208 Olsson,0.03
2025-11-02 02:15:00+00:00,218 Olsson,0.01
2025-11-02 02:15:00+00:00,260 Olsson,0.02
2025-11-02 02:15:00+00:00,245 Olsson,0.0
2025-11-02 02:15:00+00:00,270 Olsson,0.06
2025-11-02 02:15:00+00:00,217 Olsson,0.0
2025-11-02 02:15:00+00:00,247 Olsson,0.0
2025-11-02 02:15:00+00:00,277 Olsson,0.0
2025-11-02 02:15:00+00:00,273 Olsson,0.0
2025-11-02 02:15:00+00:00,276 Olsson,0.02
2025-11-02 02:15:00+00:00,203 Olsson,0.05
2025-11-02 02:15:00+00:00,286 Olsson,0.0
2025-11-02 02:30:00+00:00,263 Olsson,0.0
2025-11-02 02:30:00+00:00,249 Olsson,0.0
2025-11-02 02:30:00+00:00,241 Olsson,0.0
2025-11-02 02:30:00+00:00,261 Olsson,0.0
2025-11-02 02:30:00+00:00,279 Olsson,0.02
2025-11-02 02:30:00+00:00,269 Olsson,0.04
2025-11-02 02:30:00+00:00,243 Olsson,0.0
2025-11-02 02:30:00+00:00,208 Olsson,0.09
2025-11-02 02:30:00+00:00,225 Olsson,0.02
2025-11-02 02:30:00+00:00,203 Olsson,0.18
2025-11-02 02:30:00+00:00,260 Olsson,0.04
2025-11-02 02:30:00+00:00,200 Olsson,0.0
2025-11-02 02:30:00+00:00,247 Olsson,0.01
2025-11-02 02:30:00+00:00,270 Olsson,0.09
2025-11-02 02:30:00+00:00,277 Olsson,0.0
2025-11-02 02:30:00+00:00,283 Olsson,0.02
2025-11-02 02:30:00+00:00,201 Olsson,0.41
2025-11-02 02:30:00+00:00,240 Olsson,0.14
2025-11-02 02:30:00+00:00,218 Olsson,0.02
2025-11-02 02:30:00+00:00,245 Olsson,0.01
2025-11-02 02:30:00+00:00,281 Olsson,0.0
2025-11-02 02:30:00+00:00,210 Olsson,0.26
2025-11-02 02:30:00+00:00,229 Olsson,0.04
2025-11-02 02:30:00+00:00,256 Olsson,0.04
2025-11-02 02:30:00+00:00,271 Olsson,0.0
2025-11-02 02:30:00+00:00,217 Olsson,0.0
2025-11-02 02:30:00+00:00,259 Olsson,0.0
2025-11-02 02:30:00+00:00,255 Olsson,0.03
2025-11-02 02:30:00+00:00,251 Olsson,0.0
2025-11-02 02:30:00+00:00,211 Olsson,0.0
2025-11-02 02:30:00+00:00,276 Olsson,0.04
2025-11-02 02:30:00+00:00,274 Olsson,0.0
2025-11-02 02:30:00+00:00,213 Olsson,0.15
