room,ratio,date
200 Olsson,0.0,2025-11-30
273 Olsson,0.0,2025-11-30
218 Olsson,0.0,2025-11-30
274 Olsson,0.0,2025-11-30
217 Olsson,0.0,2025-11-30
276 Olsson,0.0,2025-11-30
213 Olsson,0.0,2025-11-30
225 Olsson,0.0,2025-11-30
219 Olsson,0.0,2025-11-30
203 Olsson,0.0,2025-11-30
210 Olsson,0.0,2025-11-30
281 Olsson,0.0,2025-11-30
208 Olsson,0.0,2025-11-30
283 Olsson,0.0,2025-11-30
206 Olsson,0.0,2025-11-30
285 Olsson,0.0,2025-11-30
211 Olsson,0.0,2025-11-30
279 Olsson,0.0,2025-11-30
270 Olsson,0.0,2025-11-30
271 Olsson,0.0,2025-11-30
277 Olsson,0.0,2025-11-30
255 Olsson,0.0,2025-11-30
245 Olsson,0.0,2025-11-30
251 Olsson,0.0,2025-11-30
259 Olsson,0.0,2025-11-30
249 Olsson,0.0,2025-11-30
260 Olsson,0.0,2025-11-30
229 Olsson,0.0,2025-11-30
247 Olsson,0.0,2025-11-30
263 Olsson,0.0,2025-11-30
243 Olsson,0.0,2025-11-30
257 Olsson,0.0,2025-11-30
253 Olsson,0.0,2025-11-30
241 Olsson,0.0,2025-11-30
269 Olsson,0.0,2025-11-30
240 Olsson,0.0,2025-11-30
261 Olsson,0.0,2025-11-30
286 Olsson,0.0,2025-11-30
256 Olsson,0.0,2025-11-30
201 Olsson,0.0,2025-11-30
265 Olsson,0.0,2025-11-30
200 Olsson,0.0,2025-11-29
273 Olsson,0.0,2025-11-29
218 Olsson,0.0,2025-11-29
274 Olsson,0.0,2025-11-29
217 Olsson,0.0,2025-11-29
276 Olsson,0.84,2025-11-29
213 Olsson,0.05,2025-11-29
225 Olsson,0.0,2025-11-29
219 Olsson,0.0,2025-11-29
203 Olsson,0.0,2025-11-29
210 Olsson,0.0,2025-11-29
281 Olsson,0.0,2025-11-29
208 Olsson,0.0,2025-11-29
283 Olsson,0.0,2025-11-29
206 Olsson,0.0,2025-11-29
285 Olsson,0.0,2025-11-29
211 Olsson,0.0,2025-11-29
279 Olsson,0.0,2025-11-29
270 Olsson,0.51,2025-11-29
271 Olsson,0.0,2025-11-29
277 Olsson,0.0,2025-11-29
255 Olsson,0.0,2025-11-29
245 Olsson,0.08,2025-11-29
251 Olsson,0.0,2025-11-29
259 Olsson,0.05,2025-11-29
249 Olsson,0.0,2025-11-29
260 Olsson,0.0,2025-11-29
229 Olsson,0.0,2025-11-29
247 Olsson,0.0,2025-11-29
263 Olsson,0.0,2025-11-29
243 Olsson,0.0,2025-11-29
257 Olsson,0.0,2025-11-29
253 Olsson,0.0,2025-11-29
241 Olsson,0.81,2025-11-29
269 Olsson,0.0,2025-11-29
240 Olsson,0.0,2025-11-29
261 Olsson,0.0,2025-11-29
286 Olsson,0.0,2025-11-29
256 Olsson,0.0,2025-11-29
201 Olsson,0.0,2025-11-29
265 Olsson,0.0,2025-11-29
200 Olsson,0.0,2025-11-28
273 Olsson,0.0,2025-11-28
218 Olsson,0.0,2025-11-28
274 Olsson,0.0,2025-11-28
217 Olsson,0.0,2025-11-28
276 Olsson,0.76,2025-11-28
213 Olsson,0.19,2025-11-28
225 Olsson,0.0,2025-11-28
219 Olsson,0.0,2025-11-28
203 Olsson,0.0,2025-11-28
210 Olsson,0.14,2025-11-28
281 Olsson,0.0,2025-11-28
208 Olsson,0.03,2025-11-28
283 Olsson,0.0,2025-11-28
206 Olsson,0.0,2025-11-28
285 Olsson,0.0,2025-11-28
211 Olsson,0.0,2025-11-28
279 Olsson,0.11,2025-11-28
270 Olsson,0.49,2025-11-28
271 Olsson,0.0,2025-11-28
277 Olsson,0.0,2025-11-28
255 Olsson,0.0,2025-11-28
245 Olsson,0.16,2025-11-28
251 Olsson,0.0,2025-11-28
259 Olsson,0.0,2025-11-28
249 Olsson,0.0,2025-11-28
260 Olsson,0.0,2025-11-28
229 Olsson,0.0,2025-11-28
247 Olsson,0.16,2025-11-28
263 Olsson,0.0,2025-11-28
243 Olsson,0.0,2025-11-28
257 Olsson,0.0,2025-11-28
253 Olsson,0.0,2025-11-28
241 Olsson,0.73,2025-11-28
269 Olsson,0.0,2025-11-28
240 Olsson,0.0,2025-11-28
261 Olsson,0.0,2025-11-28
286 Olsson,0.0,2025-11-28
256 Olsson,0.32,2025-11-28
201 Olsson,0.0,2025-11-28
265 Olsson,0.03,2025-11-28
200 Olsson,0.0,2025-11-27
273 Olsson,0.0,2025-11-27
218 Olsson,0.0,2025-11-27
274 Olsson,0.0,2025-11-27
217 Olsson,0.0,2025-11-27
276 Olsson,0.81,2025-11-27
213 Olsson,0.0,2025-11-27
225 Olsson,0.0,2025-11-27
219 Olsson,0.0,2025-11-27
203 Olsson,0.0,2025-11-27
210 Olsson,0.0,2025-11-27
281 Olsson,0.05,2025-11-27
208 Olsson,0.0,2025-11-27
283 Olsson,0.0,2025-11-27
206 Olsson,0.0,2025-11-27
285 Olsson,0.0,2025-11-27
211 Olsson,0.0,2025-11-27
279 Olsson,0.03,2025-11-27
270 Olsson,0.43,2025-11-27
271 Olsson,0.0,2025-11-27
277 Olsson,0.0,2025-11-27
255 Olsson,0.0,2025-11-27
245 Olsson,0.08,2025-11-27
251 Olsson,0.0,2025-11-27
259 Olsson,0.05,2025-11-27
249 Olsson,0.0,2025-11-27
260 Olsson,0.0,2025-11-27
229 Olsson,0.0,2025-11-27
247 Olsson,0.3,2025-11-27
263 Olsson,0.0,2025-11-27
243 Olsson,0.0,2025-11-27
257 Olsson,0.0,2025-11-27
253 Olsson,0.0,2025-11-27
241 Olsson,0.81,2025-11-27
269 Olsson,0.0,2025-11-27
240 Olsson,0.0,2025-11-27
261 Olsson,0.0,2025-11-27
286 Olsson,0.0,2025-11-27
